player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
Keegan Murray,-125.0,-106.0,5.5,6.0,9.0,3.0,5.0,5.0,6.0,5.0,5.0,8.0,7.0,5.9,5.7,-75.16666666666667,0.4000000000000003,Unknown,5.695499999999998,0.19549999999999823
Kel'el Ware,-110.0,-120.0,9.5,12.0,8.0,12.0,8.0,15.0,12.0,6.0,9.0,6.0,7.0,9.5,9.5,-73.5,0.0,Unknown,9.412000000000003,-0.08799999999999741
Kentavious Caldwell-Pope,128.0,-166.0,2.5,3.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,3.0,2.4,2.45,-11.833333333333334,-0.1,Unknown,2.451999999999996,-0.04800000000000404
Keon Johnson,-157.0,107.0,4.5,3.0,1.0,7.0,8.0,6.0,3.0,2.0,4.0,4.0,5.0,4.3,4.4,-15.166666666666666,-0.2000000000000001,Unknown,4.389499999999996,-0.1105000000000036
Kevin Durant,-143.0,100.0,5.5,9.0,9.0,7.0,10.0,2.0,5.0,8.0,4.0,10.0,5.0,6.9,6.2,-12.5,1.4000000000000004,Unknown,6.2035,0.7035
Keyonte George,-125.0,-105.0,3.5,6.0,6.0,3.0,3.0,4.0,3.0,5.0,8.0,3.0,4.0,4.5,4.0,-75.5,1.0,Unknown,3.998499999999999,0.49849999999999905
Klay Thompson,-160.0,114.0,3.5,5.0,4.0,4.0,3.0,2.0,2.0,8.0,2.0,3.0,7.0,4.0,3.75,-14.166666666666666,0.5,Unknown,3.7364999999999986,0.2364999999999986
Kyle Filipowski,-158.0,116.0,5.5,7.0,5.0,13.0,8.0,11.0,13.0,1.0,11.0,2.0,3.0,7.4,6.45,-12.166666666666666,1.9000000000000004,Unknown,6.356000000000003,0.8560000000000034
Kyshawn George,-115.0,-115.0,5.5,6.0,7.0,8.0,4.0,5.0,3.0,2.0,9.0,9.0,7.0,6.0,5.75,-74.83333333333333,0.5,Unknown,5.747999999999999,0.24799999999999933
LaMelo Ball,-200.0,120.0,5.5,1.0,10.0,9.0,7.0,6.0,4.0,5.0,1.0,4.0,0.0,4.7,5.1,-24.833333333333332,-0.7999999999999998,Unknown,5.061500000000008,-0.43849999999999234
Luguentz Dort,-108.0,-120.0,3.5,6.0,4.0,0.0,9.0,4.0,1.0,3.0,3.0,2.0,3.0,3.5,3.5,-74.83333333333333,0.0,Unknown,3.505,0.004999999999999893
Luka Doncic,-150.0,-110.0,9.5,8.0,7.0,8.0,6.0,2.0,13.0,15.0,10.0,11.0,4.0,8.4,8.95,-83.5,-1.0999999999999996,Unknown,8.911100000000008,-0.5888999999999918
Malik Monk,-145.0,105.0,3.5,1.0,5.0,9.0,4.0,0.0,6.0,4.0,3.0,4.0,7.0,4.3,3.9,-12.166666666666666,0.7999999999999998,Unknown,3.9069999999999947,0.4069999999999947
Mark Williams,-144.0,102.0,9.5,8.0,13.0,12.0,16.0,12.0,5.0,9.0,5.0,14.0,15.0,10.9,10.2,-10.833333333333334,1.4000000000000004,Unknown,10.25900000000001,0.7590000000000092
Matas Buzelis,100.0,-130.0,5.5,5.0,5.0,7.0,6.0,4.0,4.0,3.0,3.0,7.0,1.0,4.5,5.0,-8.166666666666666,-1.0,Unknown,4.847000000000003,-0.6529999999999969
Max Christie,-140.0,100.0,4.5,3.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,3.5,4.0,-11.833333333333334,-1.0,Unknown,3.9690000000000003,-0.5309999999999997
Mikal Bridges,120.0,-154.0,3.5,4.0,3.0,4.0,4.0,2.0,2.0,0.0,1.0,10.0,3.0,3.3,3.4,-10.166666666666666,-0.2000000000000001,Unknown,3.3799999999999994,-0.12000000000000055
